n_procs,N,time
1,1000,0.007363
2,1000,0.006706
4,1000,0.007141
8,1000,0.021348
1,2000,0.032519
2,2000,0.029813
4,2000,0.029494
8,2000,0.066896
1,4000,0.124958
2,4000,0.120291
4,4000,0.124654
8,4000,0.202953
1,8000,0.517006
2,8000,0.514162
4,8000,0.503615
8,8000,0.553699
1,10000,0.794895
2,10000,0.740308
4,10000,0.803312
8,10000,0.877944
