stride,sum,time_msec,rate_MB_s
1,1000000.000000,1.500000,5086.263021
2,1000000.000000,1.550000,4922.190020
3,1000000.000000,1.689000,4517.107479
4,1000000.000000,1.955000,3902.503597
5,1000000.000000,2.755000,2769.290211
6,1000000.000000,3.023000,2523.782511
7,1000000.000000,3.106000,2456.340802
8,1000000.000000,3.515000,2170.524760
9,1000000.000000,4.122000,1850.896296
10,1000000.000000,4.360000,1749.861131
11,1000000.000000,5.073000,1503.921650
12,1000000.000000,5.294000,1441.139881
13,1000000.000000,5.938000,1284.842461
14,1000000.000000,6.533000,1167.824052
15,1000000.000000,6.630000,1150.738240
16,1000000.000000,8.014000,952.008302
17,1000000.000000,8.017000,951.652056
18,1000000.000000,8.405000,907.720944
19,1000000.000000,8.996000,848.087431
20,1000000.000000,9.815000,777.319871
